backend,case,or_time_ms,min_ms,max_ms,replicates,source_operation,source_files
Concise,A1311_B19661,44.7149,44.6091,44.7468,3,OR_op,raw/density_r1_A1311_B19661_concise.csv;raw/density_r2_A1311_B19661_concise.csv;raw/density_r3_A1311_B19661_concise.csv
DDC,A1311_B26214,1.47996,1.45473,1.48262,3,OR_op,raw/density_r1_A1311_B26214_ddc.csv;raw/density_r2_A1311_B26214_ddc.csv;raw/density_r3_A1311_B26214_ddc.csv
CRoaring,A1311_B26214,3.64522,3.63173,3.70434,3,OR_op_conv,raw/density_r1_A1311_B26214_croaring.csv;raw/density_r2_A1311_B26214_croaring.csv;raw/density_r3_A1311_B26214_croaring.csv
WAH,A1311_B26214,7.48106,7.47855,7.49895,3,OR_op,raw/density_r1_A1311_B26214_wah.csv;raw/density_r2_A1311_B26214_wah.csv;raw/density_r3_A1311_B26214_wah.csv
EWAH,A1311_B26214,10.2452,10.1731,10.2452,3,OR_op,raw/density_r1_A1311_B26214_ewah.csv;raw/density_r2_A1311_B26214_ewah.csv;raw/density_r3_A1311_B26214_ewah.csv
Bitset-AVX512,A1311_B26214,1.75056,1.70562,1.77828,3,OR_op,raw/density_r1_A1311_B26214_bitset_avx512.csv;raw/density_r2_A1311_B26214_bitset_avx512.csv;raw/density_r3_A1311_B26214_bitset_avx512.csv
Concise,A1311_B26214,44.7255,44.4333,44.7335,3,OR_op,raw/density_r1_A1311_B26214_concise.csv;raw/density_r2_A1311_B26214_concise.csv;raw/density_r3_A1311_B26214_concise.csv
DDC,A1311_B32768,1.47467,1.44381,1.50764,3,OR_op,raw/density_r1_A1311_B32768_ddc.csv;raw/density_r2_A1311_B32768_ddc.csv;raw/density_r3_A1311_B32768_ddc.csv
CRoaring,A1311_B32768,3.63477,3.62868,3.69584,3,OR_op_conv,raw/density_r1_A1311_B32768_croaring.csv;raw/density_r2_A1311_B32768_croaring.csv;raw/density_r3_A1311_B32768_croaring.csv
WAH,A1311_B32768,7.45624,7.45438,7.5172,3,OR_op,raw/density_r1_A1311_B32768_wah.csv;raw/density_r2_A1311_B32768_wah.csv;raw/density_r3_A1311_B32768_wah.csv
