group,case,operation,native_cr_ms,same_run_delivered_cr_ms,historical_delivered_cr_ms,native_over_same_run_delivered,native_speedup_from_removing_delivery,delivery_overhead_ms,delivery_share_pct,same_run_delivered_over_historical,replicates,native_source_operation,delivered_source_operation
density,A66_B32768,OR,1.13417,2.54332,2.47592,0.44594073887674374,2.2424504263029355,1.4091500000000001,55.40592611232563,1.0272222042715435,1,OR_op,OR_op_conv
density,A328_B328,OR,1.13771,2.28203,2.28084,0.4985517280666775,2.005809916411036,1.1443199999999998,50.14482719333225,1.0005217376054436,1,OR_op,OR_op_conv
density,A328_B655,OR,1.64733,2.98043,2.96506,0.5527155477565318,1.8092489058051515,1.3331000000000002,44.72844522434683,1.0051837062319144,1,OR_op,OR_op_conv
density,A328_B1311,OR,2.30843,3.91337,3.91379,0.5898828886611794,1.695251751190203,1.60494,41.01171113388205,0.9998926871395757,1,OR_op,OR_op_conv
density,A328_B3277,OR,4.54066,7.6676,7.67214,0.5921879075590797,1.6886531913862743,3.1269400000000003,40.781209244092025,0.999408248546038,1,OR_op,OR_op_conv
density,A328_B6554,OR,1.43218,2.83078,2.87116,0.5059312274355479,1.9765532265497352,1.3985999999999998,49.40687725644522,0.9859359979938421,1,OR_op,OR_op_conv
density,A328_B13107,OR,1.43195,2.84759,2.77788,0.5028638251995547,1.9886099374978174,1.4156399999999998,49.71361748004452,1.0250946765159041,1,OR_op,OR_op_conv
density,A328_B19661,OR,1.43447,2.8385,2.81127,0.5053619869649463,1.9787796189533415,1.40403,49.46380130350537,1.0096860137944772,1,OR_op,OR_op_conv
density,A328_B26214,OR,1.43486,2.84411,2.73433,0.5045022871829852,1.9821515687941682,1.4092500000000001,49.54977128170148,1.0401487750198404,1,OR_op,OR_op_conv
density,A328_B32768,OR,1.43107,2.83245,2.77225,0.5052410457377888,1.9792532860027812,1.40138,49.475895426221115,1.021715213274416,1,OR_op,OR_op_conv
density,A655_B655,OR,2.16731,3.62475,3.63012,0.5979198565418304,1.6724649450240159,1.45744,40.20801434581695,0.9985207100591716,1,OR_op,OR_op_conv
density,A655_B1311,OR,2.93686,4.76269,4.76467,0.6166389162427115,1.621694598993483,1.8258300000000003,38.33610837572885,0.9995844413149285,1,OR_op,OR_op_conv
density,A655_B3277,OR,5.21634,8.62385,8.63963,0.6048736933040347,1.6532377107320457,3.4075099999999994,39.51263066959652,0.9981735328943483,1,OR_op,OR_op_conv
density,A655_B6554,OR,1.72214,3.12581,3.07189,0.5509419958346796,1.8150731067160626,1.40367,44.90580041653203,1.017552711848406,1,OR_op,OR_op_conv
density,A655_B13107,OR,1.72718,3.14532,3.10203,0.549126956875612,1.821072499681562,1.41814,45.087304312438796,1.0139553776075667,1,OR_op,OR_op_conv
density,A655_B19661,OR,1.72553,3.14026,3.09812,0.5494863482641564,1.8198814277352466,1.41473,45.05136517358436,1.0136017972189586,1,OR_op,OR_op_conv
density,A655_B26214,OR,1.71731,3.14162,3.02734,0.5466319924115584,1.8293843278150133,1.4243100000000002,45.33680075884416,1.037749311276566,1,OR_op,OR_op_conv
density,A655_B32768,OR,1.71622,3.12435,3.13732,0.5493046553683166,1.8204833879106408,1.40813,45.06953446316834,0.9958658982826107,1,OR_op,OR_op_conv
density,A1311_B1311,OR,3.68388,6.01443,5.99147,0.6125069208553429,1.632634613505326,2.33055,38.74930791446571,1.0038321146563365,1,OR_op,OR_op_conv
density,A1311_B3277,OR,4.57614,5.98319,5.92677,0.7648328065797676,1.3074752957732936,1.40705,23.516719342023233,1.0095195190635033,1,OR_op,OR_op_conv
density,A1311_B6554,OR,2.29106,3.70453,3.70518,0.6184482242011806,1.6169502326434053,1.4134700000000002,38.155177579881936,0.9998245699264273,1,OR_op,OR_op_conv
density,A1311_B13107,OR,2.28663,3.71926,3.60325,0.6148077843441976,1.626524623572681,1.4326299999999996,38.519221565580246,1.0321959342260458,1,OR_op,OR_op_conv
density,A1311_B19661,OR,2.28073,3.70596,3.59191,0.6154221848050168,1.6249007993054856,1.42523,38.45778151949832,1.0317519091513987,1,OR_op,OR_op_conv
density,A1311_B26214,OR,2.30258,3.7174,3.60162,0.6194060364771076,1.6144498779629808,1.4148200000000002,38.05939635228924,1.0321466451208068,1,OR_op,OR_op_conv
density,A1311_B32768,OR,2.30229,3.70845,3.63173,0.6208227156898435,1.6107658027442242,1.4061599999999999,37.91772843101565,1.021124918427306,1,OR_op,OR_op_conv
