backend,density_A,density_B,or_time_ms
Concise,0.1%,5%,32.9734
Concise,0.1%,10%,24.9443
Concise,0.1%,20%,24.7525
Concise,0.1%,30%,24.4131
Concise,0.1%,40%,26.3312
Concise,0.1%,50%,24.5213
Concise,0.5%,0.1%,11.9164
Concise,0.5%,0.5%,23.6899
Concise,0.5%,1%,35.8894
Concise,0.5%,2%,47.3191
Concise,0.5%,5%,39.963
Concise,0.5%,10%,32.0662
Concise,0.5%,20%,31.6567
Concise,0.5%,30%,31.0303
Concise,0.5%,40%,31.2548
Concise,0.5%,50%,31.1912
Concise,1%,0.1%,23.401
Concise,1%,0.5%,35.8894
Concise,1%,1%,39.4184
Concise,1%,2%,49.4882
Concise,1%,5%,48.0628
Concise,1%,10%,41.3476
Concise,1%,20%,40.8588
Concise,1%,30%,40.4127
Concise,1%,40%,40.3688
Concise,1%,50%,40.4177
Concise,2%,0.1%,38.5333
Concise,2%,0.5%,47.3191
Concise,2%,1%,49.4882
Concise,2%,2%,58.1282
Concise,2%,5%,55.7244
Concise,2%,10%,49.6335
Concise,2%,20%,49.4177
Concise,2%,30%,49.1783
Concise,2%,40%,49.2325
Concise,2%,50%,48.8467
Concise,5%,0.1%,32.9734
Concise,5%,0.5%,39.963
Concise,5%,1%,48.0628
Concise,5%,2%,55.7244
Concise,5%,5%,39.3287
Concise,5%,10%,34.7371
Concise,5%,20%,34.1624
Concise,5%,30%,33.1537
Concise,5%,40%,33.3426
Concise,5%,50%,33.2549
Concise,10%,0.1%,24.9443
Concise,10%,0.5%,32.0662
Concise,10%,1%,41.3476
Concise,10%,2%,49.6335
Concise,10%,5%,34.7371
Concise,10%,10%,33.7175
Concise,10%,20%,35.9321
Concise,10%,30%,32.2031
Concise,10%,40%,31.9578
Concise,10%,50%,31.7075
Concise,20%,0.1%,24.7525
Concise,20%,0.5%,31.6567
Concise,20%,1%,40.8588
Concise,20%,2%,49.4177
Concise,20%,5%,34.1624
Concise,20%,10%,35.9321
Concise,20%,20%,27.3846
Concise,20%,30%,27.334
Concise,20%,40%,27.4923
Concise,20%,50%,27.3715
Concise,30%,0.1%,24.4131
Concise,30%,0.5%,31.0303
Concise,30%,1%,40.4127
Concise,30%,2%,49.1783
Concise,30%,5%,33.1537
Concise,30%,10%,32.2031
Concise,30%,20%,27.334
Concise,30%,30%,30.6064
Concise,30%,40%,28.0248
Concise,30%,50%,27.6635
Concise,40%,0.1%,26.3312
Concise,40%,0.5%,31.2548
Concise,40%,1%,40.3688
Concise,40%,2%,49.2325
Concise,40%,5%,33.3426
Concise,40%,10%,31.9578
Concise,40%,20%,27.4923
Concise,40%,30%,28.0248
Concise,40%,40%,27.9889
Concise,40%,50%,27.6618
Concise,50%,0.1%,24.5213
Concise,50%,0.5%,31.1912
Concise,50%,1%,40.4177
Concise,50%,2%,48.8467
Concise,50%,5%,33.2549
Concise,50%,10%,31.7075
Concise,50%,20%,27.3715
Concise,50%,30%,27.6635
Concise,50%,40%,27.6618
Concise,50%,50%,27.3227
